Trofie al pesto,trofie,pesto,parmiggiano
Spaghetti alla puttanesca,spaghetti,capperi,salsa,olive
Carbonara,uova,guanciale
Risotto alla Milanese,riso,zafferano,parmigiano,burro
Spiedini di carne,peperoni,manzo,maiale,pomodorini
Caesar Salad,raspa dura,insalata romana,pollo
Penne al baffo, panna, prosciutto a cubetti, salsa
Spaghetti alle vongole, linguine, aglio,vongole veraci
Toast ignoranti, pan carrè, tonno, cotto, fontina, maionese,ketcthup
Tortelli al brodo, tortelli al prosciutto, brodo,parmigiano
Entrecote alla piastra, entrecote manzo , insalata
Pollo alla diavola, pollo ,patate
Rustin Negà, nodini di vitello, burro, salvia, brodo,rosmarino,pancetta,farina
Pasta Pasticciata, penne, ragù, salsa, cipolla,besciamella, parmigiano